"Date","Price","Volume","Market_cap"
"2025-02-21 00:00:00 UTC+0","0.76049945","531760493.295085","28597192656.56765400"
"2025-02-20 00:00:00 UTC+0","0.80457933","371666423.065697","30254736124.02537000"
"2025-02-19 00:00:00 UTC+0","0.77319830","371645327.803115","29074709892.62703000"
"2025-02-18 00:00:00 UTC+0","0.75240753","478830323.214294","28292910628.53807000"
"2025-02-17 00:00:00 UTC+0","0.80666353","573834432.714425","30323347690.73230000"
"2025-02-16 00:00:00 UTC+0","0.77112562","222167591.569772","28987439380.36638000"
"2025-02-15 00:00:00 UTC+0","0.78133497","243049774.892170","29371220086.61896500"
"2025-02-14 00:00:00 UTC+0","0.80060516","395070208.885271","30095607184.54714000"
"2025-02-13 00:00:00 UTC+0","0.81036994","431595682.729405","30462675450.54060700"
"2025-02-12 00:00:00 UTC+0","0.79649518","521051213.427906","29941108567.75634800"
"2025-02-11 00:00:00 UTC+0","0.77957433","1043808569.109203","29295443762.85333600"
"2025-02-10 00:00:00 UTC+0","0.71056649","377607536.842794","26702214298.70022000"
"2025-02-09 00:00:00 UTC+0","0.68260396","351877075.556973","25651416776.89865500"
"2025-02-08 00:00:00 UTC+0","0.70259985","273316329.974011","26402837815.47471000"
"2025-02-07 00:00:00 UTC+0","0.70714701","488764208.969162","26564900719.95193000"
"2025-02-06 00:00:00 UTC+0","0.70612063","435469047.692866","26526343465.64123000"
"2025-02-05 00:00:00 UTC+0","0.73245034","459183140.912216","27515453191.05678600"
"2025-02-04 00:00:00 UTC+0","0.74734541","909661841.122023","28075006151.58334400"
"2025-02-03 00:00:00 UTC+0","0.81008602","3212757277.692391","30431938963.55812500"
"2025-02-02 00:00:00 UTC+0","0.79795284","851571745.229383","29966346640.11318200"
"2025-02-01 00:00:00 UTC+0","0.89758493","274773318.105592","33707933348.81197000"
"2025-01-31 00:00:00 UTC+0","0.94256858","342445618.289526","35397250735.99074000"
"2025-01-30 00:00:00 UTC+0","0.96009697","317304943.844142","36055512590.10383000"
"2025-01-29 00:00:00 UTC+0","0.94039847","428386362.554850","35315754349.12064000"
"2025-01-28 00:00:00 UTC+0","0.91457872","375207106.631990","34334720792.81297300"
"2025-01-27 00:00:00 UTC+0","0.93453319","764518554.969912","35083842978.56917600"
"2025-01-26 00:00:00 UTC+0","0.95476588","252169296.796468","35843410064.70009600"
"2025-01-25 00:00:00 UTC+0","0.97890652","220464383.674679","36749687655.56785000"
"2025-01-24 00:00:00 UTC+0","0.97191122","435141005.709788","36487073177.20528000"
"2025-01-23 00:00:00 UTC+0","0.98647020","602126283.718266","37021418731.84180500"
"2025-01-22 00:00:00 UTC+0","0.98198141","464210276.708476","36852958079.81013000"
"2025-01-21 00:00:00 UTC+0","1.00535653","833223750.242521","37730207320.10087000"
"2025-01-20 00:00:00 UTC+0","1.00949663","1438134745.298497","37885581930.43732000"
"2025-01-19 00:00:00 UTC+0","0.99122511","1558389826.842208","37199866494.85161600"
"2025-01-18 00:00:00 UTC+0","1.10310295","783045103.636216","41398550135.73278000"
"2025-01-17 00:00:00 UTC+0","1.13810189","983320944.700301","42697790628.87685400"
"2025-01-16 00:00:00 UTC+0","1.08993047","1151017682.211545","40890559561.56849000"
"2025-01-15 00:00:00 UTC+0","1.08108728","1253695830.844424","40558792545.70060000"
"2025-01-14 00:00:00 UTC+0","0.99464247","554363339.562287","37315671319.22760000"
"2025-01-13 00:00:00 UTC+0","0.94442197","805176839.250593","35419815238.96091500"
"2025-01-12 00:00:00 UTC+0","0.96897469","554922844.216693","36340646026.54719000"
"2025-01-11 00:00:00 UTC+0","0.99660342","467602526.463115","37376839897.56536000"
"2025-01-10 00:00:00 UTC+0","0.93148445","634485529.295717","34934603409.13315600"
"2025-01-09 00:00:00 UTC+0","0.90530823","681897652.514382","33952884565.15928000"
"2025-01-08 00:00:00 UTC+0","0.94888893","1041603922.410666","35575627944.27260600"
"2025-01-07 00:00:00 UTC+0","0.99193303","1187681943.383094","37189432110.88828000"
"2025-01-06 00:00:00 UTC+0","1.09372633","699676301.057987","41005854121.68278500"
"2025-01-05 00:00:00 UTC+0","1.09489110","677716826.539417","41049523521.11819000"
"2025-01-04 00:00:00 UTC+0","1.07278474","641819178.861931","40220714442.96978000"
"2025-01-03 00:00:00 UTC+0","1.09301443","1489035157.627619","40965586768.67413000"
"2025-01-02 00:00:00 UTC+0","0.96130812","573697906.192834","36029306066.67158000"
"2025-01-01 00:00:00 UTC+0","0.91652813","477273775.343033","34350976449.80956300"
"2024-12-31 00:00:00 UTC+0","0.84270874","301746153.413544","31584265752.49614300"
"2024-12-30 00:00:00 UTC+0","0.85901141","466939393.619904","32195280772.37879600"
"2024-12-29 00:00:00 UTC+0","0.85863422","282428232.030123","32170441550.72953800"
"2024-12-28 00:00:00 UTC+0","0.88704347","234954944.725126","33234850667.54042400"
"2024-12-27 00:00:00 UTC+0","0.87454580","390151879.484347","32766600275.33909600"
"2024-12-26 00:00:00 UTC+0","0.86025068","383179502.584694","32231005375.71081000"
