"Date","Price","Volume","Market_cap"
"2025-02-21 00:00:00 UTC+0","2653.71978375","388231843.869936","23770352834.66964000"
"2025-02-20 00:00:00 UTC+0","2739.14648193","28569537.308126","24535551470.07051500"
"2025-02-19 00:00:00 UTC+0","2714.89512739","11946915.343608","24318323088.37065500"
"2025-02-18 00:00:00 UTC+0","2667.78952664","43197020.491204","23896380742.71511000"
"2025-02-17 00:00:00 UTC+0","2741.08489978","47401507.033319","24552914598.07150000"
"2025-02-16 00:00:00 UTC+0","2662.15116671","20879858.726345","23845875860.55398600"
"2025-02-15 00:00:00 UTC+0","2694.22696277","16292978.226315","24133190668.36148500"
"2025-02-14 00:00:00 UTC+0","2725.36033839","47899212.896749","24412063866.68045000"
"2025-02-13 00:00:00 UTC+0","2675.50788563","38694803.221988","23965516948.28140300"
"2025-02-12 00:00:00 UTC+0","2737.47899227","148955229.177502","24520615146.43433000"
"2025-02-11 00:00:00 UTC+0","2600.82396206","79028070.205554","23296545331.38383500"
"2025-02-10 00:00:00 UTC+0","2658.34351594","42583337.830603","23811769319.65859000"
"2025-02-09 00:00:00 UTC+0","2629.77132755","82482165.145133","23555837625.82681300"
"2025-02-08 00:00:00 UTC+0","2632.84769300","64429672.750578","23583393772.65549500"
"2025-02-07 00:00:00 UTC+0","2620.45083501","96466612.190102","23472350515.50152600"
"2025-02-06 00:00:00 UTC+0","2686.26905187","50750031.993647","24061908707.43925500"
"2025-02-05 00:00:00 UTC+0","2785.53342734","81459514.745875","24951056553.22025700"
"2025-02-04 00:00:00 UTC+0","2732.25148832","117713698.945440","24473790453.70209000"
"2025-02-03 00:00:00 UTC+0","2873.05790503","613253704.182150","25735045778.03810000"
"2025-02-02 00:00:00 UTC+0","2862.95776354","59357547.377774","25644575062.79115000"
"2025-02-01 00:00:00 UTC+0","3117.32952821","32280729.582663","27923077350.24333600"
"2025-01-31 00:00:00 UTC+0","3291.54057464","45714069.036492","29483550338.64398000"
"2025-01-30 00:00:00 UTC+0","3245.14544176","45267664.690532","29067971917.33205000"
"2025-01-29 00:00:00 UTC+0","3110.69534750","46185588.717762","27863652531.83511000"
"2025-01-28 00:00:00 UTC+0","3073.92543565","87257347.999004","27534290786.90979400"
"2025-01-27 00:00:00 UTC+0","3176.48651557","62374251.862532","28452968437.74788300"
"2025-01-26 00:00:00 UTC+0","3233.35085245","20539996.175142","28962323404.13080600"
"2025-01-25 00:00:00 UTC+0","3314.62659386","47922002.256360","29690340379.45937000"
"2025-01-24 00:00:00 UTC+0","3304.84195610","43536832.393573","29602695748.17093000"
"2025-01-23 00:00:00 UTC+0","3334.45484049","43542249.052366","29867949342.31890500"
"2025-01-22 00:00:00 UTC+0","3235.98778599","92936182.263811","28985943396.35051000"
"2025-01-21 00:00:00 UTC+0","3320.48999408","86462060.216123","29742861031.00994000"
"2025-01-20 00:00:00 UTC+0","3269.53674021","115656258.646098","29286453828.53774000"
"2025-01-19 00:00:00 UTC+0","3199.33995511","175719112.568446","28657675176.05517000"
"2025-01-18 00:00:00 UTC+0","3302.72920686","103273848.535330","29583771069.25012000"
"2025-01-17 00:00:00 UTC+0","3477.76032911","36283459.906909","31151589781.13198500"
"2025-01-16 00:00:00 UTC+0","3306.12296516","41476158.405789","29614170221.73002200"
"2025-01-15 00:00:00 UTC+0","3444.62222233","27941886.930175","30854759461.89106400"
"2025-01-14 00:00:00 UTC+0","3222.06328736","43168447.854801","28861216495.12310000"
"2025-01-13 00:00:00 UTC+0","3133.31999527","90203017.562354","28066309897.39423800"
"2025-01-12 00:00:00 UTC+0","3264.39493684","20833478.979545","29240396787.80772000"
"2025-01-11 00:00:00 UTC+0","3280.87783551","20473315.124758","29388040227.51616700"
"2025-01-10 00:00:00 UTC+0","3267.41255374","48067841.754221","29267426702.07814400"
"2025-01-09 00:00:00 UTC+0","3217.57597965","47656108.132228","28821022014.84100000"
"2025-01-08 00:00:00 UTC+0","3326.10040840","41746531.500546","29793115593.94294000"
"2025-01-07 00:00:00 UTC+0","3376.88891183","58225191.493017","30248047065.59183500"
"2025-01-06 00:00:00 UTC+0","3685.81905679","52191859.574474","33015249010.55217400"
"2025-01-05 00:00:00 UTC+0","3636.52584779","26580273.835786","32573711446.00551000"
"2025-01-04 00:00:00 UTC+0","3660.48353975","34648671.888117","32788309382.98614500"
"2025-01-03 00:00:00 UTC+0","3603.95279289","32445784.237581","32281942506.17110400"
"2025-01-02 00:00:00 UTC+0","3448.08929833","36600405.113008","30885815348.19425000"
"2025-01-01 00:00:00 UTC+0","3352.70944852","26167307.885963","30031462640.30035000"
"2024-12-31 00:00:00 UTC+0","3331.77309538","48305301.111910","29843927956.22154200"
"2024-12-30 00:00:00 UTC+0","3356.59790722","69633707.933706","30066293007.74368000"
"2024-12-29 00:00:00 UTC+0","3350.01588362","45610118.718786","30007335379.94014700"
"2024-12-28 00:00:00 UTC+0","3396.21201036","49312201.401315","30421131229.45245000"
"2024-12-27 00:00:00 UTC+0","3325.67417062","81718304.761063","29789297624.01584000"
"2024-12-26 00:00:00 UTC+0","3329.05509659","99581647.331523","29819581832.50134700"
"2024-12-25 00:00:00 UTC+0","3493.78491459","106600857.825617","31295127939.59831000"
"2024-12-24 00:00:00 UTC+0","3490.14188947","87470766.063189","31262496011.71491200"
"2024-12-23 00:00:00 UTC+0","3409.65010751","116940400.668404","30541501252.12381700"
"2024-12-22 00:00:00 UTC+0","3270.57865232","123866974.145961","29295786621.92470600"
"2024-12-21 00:00:00 UTC+0","3334.46860590","80091961.076434","29868072644.20156500"
"2024-12-20 00:00:00 UTC+0","3468.46603734","169831876.627697","31068337360.82377200"
"2024-12-19 00:00:00 UTC+0","3418.71894959","133588985.891208","30622734235.93750400"
"2024-12-18 00:00:00 UTC+0","3616.24113097","114070903.251492","32392013710.29507400"
"2024-12-17 00:00:00 UTC+0","3880.81784670","136553678.409353","34761925531.11908000"
"2024-12-16 00:00:00 UTC+0","3986.38771897","149017706.063587","35707554051.45551000"
"2024-12-15 00:00:00 UTC+0","3944.42434044","153282693.062298","35331672498.36668400"
"2024-12-14 00:00:00 UTC+0","3866.56210687","329844423.539632","34634231579.45086000"
"2024-12-13 00:00:00 UTC+0","3905.85284881","134655147.692062","34986173334.91553500"
"2024-12-12 00:00:00 UTC+0","3878.32295970","236108666.474213","34739577902.46401000"
"2024-12-11 00:00:00 UTC+0","3829.26758689","107311571.061078","34300170724.88862600"
"2024-12-10 00:00:00 UTC+0","3627.96525106","280221703.016087","32497031004.45630300"
"2024-12-09 00:00:00 UTC+0","3719.76766975","192117405.473737","33319339334.33407200"
"2024-12-08 00:00:00 UTC+0","4002.15856526","76749346.079460","35848819373.85035000"
"2024-12-07 00:00:00 UTC+0","4001.20544487","89994490.306438","35840281920.85342400"
"2024-12-06 00:00:00 UTC+0","4005.27869618","128569550.905395","35876767544.32838000"
"2024-12-05 00:00:00 UTC+0","3788.70396985","183575629.940294","33936827354.92508700"
"2024-12-04 00:00:00 UTC+0","3836.34986581","120733602.105828","34363609325.23295000"
"2024-12-03 00:00:00 UTC+0","3621.10124058","105415027.570264","32435547515.53458400"
"2024-12-02 00:00:00 UTC+0","3635.65565501","139188726.205554","32565916806.35465200"
"2024-12-01 00:00:00 UTC+0","3708.97522502","84684405.020791","33222667402.00573700"
"2024-11-30 00:00:00 UTC+0","3705.89251559","103212302.399061","33195054429.74775700"
"2024-11-29 00:00:00 UTC+0","3592.51589521","58792598.594292","32179497969.72231300"
"2024-11-28 00:00:00 UTC+0","3577.49810821","111182935.265471","32044978078.78300000"
"2024-11-27 00:00:00 UTC+0","3661.10370650","150884565.749188","32793864446.66058700"
"2024-11-26 00:00:00 UTC+0","3327.27347897","118377941.731916","29803623222.34539000"
"2024-11-25 00:00:00 UTC+0","3417.14131239","109425527.349954","30608602754.09029400"
"2024-11-24 00:00:00 UTC+0","3352.25895642","66829291.626230","30027427415.34121000"
"2024-11-23 00:00:00 UTC+0","3390.63448369","79252620.028843","30371171253.40130600"
"2024-11-22 00:00:00 UTC+0","3329.31441120","92387404.316543","29821904609.68653000"
"2024-11-21 00:00:00 UTC+0","3358.30208998","147854456.578768","30081558005.15178000"
"2024-11-20 00:00:00 UTC+0","3069.20449978","92718065.113113","27492003612.56440000"
"2024-11-19 00:00:00 UTC+0","3110.69966619","73424195.098714","27863691215.90995800"
"2024-11-18 00:00:00 UTC+0","3200.91258292","97695279.793940","28671761786.92473600"
"2024-11-17 00:00:00 UTC+0","3076.84343138","100611075.889103","27560428357.53611400"
"2024-11-16 00:00:00 UTC+0","3133.74118167","84728791.274936","28070082620.25481400"
"2024-11-15 00:00:00 UTC+0","3088.06932115","97768656.887642","27660982817.84611000"
"2024-11-14 00:00:00 UTC+0","3052.48989081","102141708.402704","27342284657.56654000"
"2024-11-13 00:00:00 UTC+0","3190.88458714","57999472.764224","28581937307.59049200"
"2024-11-12 00:00:00 UTC+0","3248.60972375","89544060.770303","29099002776.56040000"
"2024-11-11 00:00:00 UTC+0","3371.96182624","94227873.281454","30203913331.60620500"
"2024-11-10 00:00:00 UTC+0","3184.21596806","68244336.296196","28522204011.93214400"
"2024-11-09 00:00:00 UTC+0","3131.67455427","30262473.577369","28051571071.72224400"
"2024-11-08 00:00:00 UTC+0","2960.64589782","193414134.579211","26519603931.27986000"
"2024-11-07 00:00:00 UTC+0","2892.02430950","58460134.251976","25904934900.87437000"
"2024-11-06 00:00:00 UTC+0","2722.41133603","64514620.258184","24385648558.24632600"
"2024-11-05 00:00:00 UTC+0","2424.51131597","41356206.423040","21717247535.04102300"
"2024-11-04 00:00:00 UTC+0","2395.01133366","28773020.813578","21453005246.75268600"
"2024-11-03 00:00:00 UTC+0","2460.10536705","28104973.584661","22036076658.61627200"
"2024-11-02 00:00:00 UTC+0","2497.54649621","21569798.010624","22371450746.00605000"
"2024-11-01 00:00:00 UTC+0","2514.90150607","57396328.600015","22526906009.39134200"
"2024-10-31 00:00:00 UTC+0","2515.44757801","30644748.572407","22531797378.40405000"
"2024-10-30 00:00:00 UTC+0","2656.86436585","42381293.577489","23798520023.39274000"
"2024-10-29 00:00:00 UTC+0","2635.12329479","52826171.513657","23603777182.35590700"
"2024-10-28 00:00:00 UTC+0","2563.86937605","38669155.220708","22965529391.59133500"
"2024-10-27 00:00:00 UTC+0","2506.25099077","19602212.900073","22449420133.85851700"
"2024-10-26 00:00:00 UTC+0","2479.35165220","24301729.144179","22208472776.55826600"
"2024-10-25 00:00:00 UTC+0","2429.09230648","49948242.658054","21758281166.86396000"
"2024-10-24 00:00:00 UTC+0","2532.08282188","71065131.046748","22680805430.63156000"
"2024-10-23 00:00:00 UTC+0","2522.09307525","50477764.709201","22591323563.10860000"
"2024-10-22 00:00:00 UTC+0","2619.16993032","35740868.344950","23460876976.90616000"
"2024-10-21 00:00:00 UTC+0","2665.62910772","51958231.276549","23877029068.71135300"
"2024-10-20 00:00:00 UTC+0","2743.73913357","36041686.895372","24576689555.03267700"
"2024-10-19 00:00:00 UTC+0","2647.43406886","16147457.265100","23714049353.88442000"
"2024-10-18 00:00:00 UTC+0","2640.46854274","29766032.005678","23651656551.68334000"
"2024-10-17 00:00:00 UTC+0","2600.84597077","32409504.565292","23296742471.60569400"
"2024-10-16 00:00:00 UTC+0","2609.19551541","40667803.472637","23371532441.29295300"
"2024-10-15 00:00:00 UTC+0","2603.40018414","39919727.335008","23319621508.58026000"
"2024-10-14 00:00:00 UTC+0","2627.77167262","80183563.764349","23537925974.59915000"
"2024-10-13 00:00:00 UTC+0","2467.98607800","13671429.369036","22106667110.92714700"
"2024-10-12 00:00:00 UTC+0","2475.98180903","30237887.605414","22178287840.81135600"
"2024-10-11 00:00:00 UTC+0","2435.43399893","29260740.582227","21815086059.41356000"
"2024-10-10 00:00:00 UTC+0","2382.66503967","34389009.080543","21342414910.02391400"
"2024-10-09 00:00:00 UTC+0","2367.04038626","47575041.901161","21202459091.48474000"
"2024-10-08 00:00:00 UTC+0","2439.75712118","60869208.000116","21853809869.58327500"
"2024-10-07 00:00:00 UTC+0","2423.15804803","52116891.805048","21705125811.93731700"
"2024-10-06 00:00:00 UTC+0","2439.64538268","11819973.272080","21852808986.38807000"
"2024-10-05 00:00:00 UTC+0","2421.02995357","16376302.513580","21686063680.17892500"
"2024-10-04 00:00:00 UTC+0","2416.09488744","36995094.633777","21641858461.50045400"
"2024-10-03 00:00:00 UTC+0","2348.97698059","48342076.784331","21040658464.02621500"
"2024-10-02 00:00:00 UTC+0","2366.98700539","72327205.071184","21201980939.25162000"
"2024-10-01 00:00:00 UTC+0","2455.09045678","55261461.238258","21991156246.41098000"
"2024-09-30 00:00:00 UTC+0","2601.86080781","41111671.093079","23305832743.59638200"
"2024-09-29 00:00:00 UTC+0","2656.50334671","28362098.321027","23795286241.02396000"
"2024-09-28 00:00:00 UTC+0","2679.88264802","28402223.392141","24004703318.33442000"
"2024-09-27 00:00:00 UTC+0","2696.73451302","30123881.665172","24155651726.50620300"
"2024-09-26 00:00:00 UTC+0","2631.87950657","28072278.494479","23574721367.56346500"
"2024-09-25 00:00:00 UTC+0","2579.14311079","28776211.165318","23102341901.38484600"
"2024-09-24 00:00:00 UTC+0","2656.03089152","30350790.870354","23791054284.54307000"
"2024-09-23 00:00:00 UTC+0","2648.95735342","34681299.911826","23727693978.98390200"
"2024-09-22 00:00:00 UTC+0","2583.68382269","23589195.704476","23143014742.76313800"
"2024-09-21 00:00:00 UTC+0","2616.38216651","17425125.977554","23435905941.93647800"
"2024-09-20 00:00:00 UTC+0","2560.14247141","33551487.250884","22932146123.75217000"
"2024-09-19 00:00:00 UTC+0","2463.53538615","57337852.743949","22066800612.52439000"
"2024-09-18 00:00:00 UTC+0","2367.74060400","59059577.543920","21208731201.66790800"
"2024-09-17 00:00:00 UTC+0","2339.00074670","56367962.237352","20951297635.14452400"
"2024-09-16 00:00:00 UTC+0","2293.91922097","54135727.965805","20547485680.49216000"
"2024-09-15 00:00:00 UTC+0","2319.95307731","19518221.253473","20780680592.28907800"
"2024-09-14 00:00:00 UTC+0","2424.04940449","18888967.538486","21713110022.47287000"
"2024-09-13 00:00:00 UTC+0","2446.49877586","35627765.052229","21914197372.24555600"
"2024-09-12 00:00:00 UTC+0","2359.98888047","37922928.564298","21139296137.50246000"
"2024-09-11 00:00:00 UTC+0","2339.94062306","32180539.662605","20959716456.45844700"
